[0.000000] (-) TimerEvent: {}
[0.000222] (-) JobUnselected: {'identifier': 'action_tutorials_cpp'}
[0.000390] (-) JobUnselected: {'identifier': 'action_tutorials_interfaces'}
[0.000415] (-) JobUnselected: {'identifier': 'bag_reading_cpp'}
[0.000426] (-) JobUnselected: {'identifier': 'cpp_parameter_event_handler'}
[0.000435] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000444] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000452] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000461] (-) JobUnselected: {'identifier': 'imu_filter_pkg'}
[0.000469] (-) JobUnselected: {'identifier': 'launch_tutorial'}
[0.000477] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.000486] (-) JobUnselected: {'identifier': 'my_package'}
[0.000494] (-) JobUnselected: {'identifier': 'polygon_base'}
[0.000502] (-) JobUnselected: {'identifier': 'polygon_plugins'}
[0.000511] (-) JobUnselected: {'identifier': 'py_launch_example'}
[0.000519] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000527] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.000536] (-) JobUnselected: {'identifier': 'python_parameters'}
[0.000544] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000553] (-) EventReactorShutdown: {}
